Session,Outcome,Type,Case,Study
1,28,BL,Brock,GillamB
2,31,BL,Brock,GillamB
3,21,BL,Brock,GillamB
4,34,INT,Brock,GillamB
5,49,INT,Brock,GillamB
6,42,INT,Brock,GillamB
7,43,INT,Brock,GillamB
8,72,INT,Brock,GillamB
9,37,INT,Brock,GillamB
10,71,INT,Brock,GillamB
11,54,INT,Brock,GillamB
12,26,INT,Brock,GillamB
13,42,INT,Brock,GillamB
14,43,INT,Brock,GillamB
15,67,INT,Brock,GillamB
16,37,INT,Brock,GillamB
17,47,INT,Brock,GillamB
18,80,INT,Brock,GillamB
19,48,INT,Brock,GillamB
20,62,INT,Brock,GillamB
1,32,BL,Sam,GillamB
2,53,BL,Sam,GillamB
3,45,BL,Sam,GillamB
4,44,BL,Sam,GillamB
5,64,BL,Sam,GillamB
6,45,BL,Sam,GillamB
7,47,BL,Sam,GillamB
8,40,BL,Sam,GillamB
9,42,BL,Sam,GillamB
10,43,BL,Sam,GillamB
11,49,BL,Sam,GillamB
12,39,BL,Sam,GillamB
13,52,BL,Sam,GillamB
14,58,BL,Sam,GillamB
15,57,BL,Sam,GillamB
16,44,BL,Sam,GillamB
17,46,BL,Sam,GillamB
18,28,BL,Sam,GillamB
19,22,BL,Sam,GillamB
20,48,INT,Sam,GillamB
21,47,INT,Sam,GillamB
22,65,INT,Sam,GillamB
23,30,INT,Sam,GillamB
24,44,INT,Sam,GillamB
25,67,INT,Sam,GillamB
26,86,INT,Sam,GillamB
27,61,INT,Sam,GillamB
28,67,INT,Sam,GillamB
29,69,INT,Sam,GillamB
30,76,INT,Sam,GillamB
31,132,INT,Sam,GillamB
32,178,INT,Sam,GillamB
33,101,INT,Sam,GillamB
34,158,INT,Sam,GillamB
1,18,BL,Paul,GillamB
2,17,BL,Paul,GillamB
3,13,BL,Paul,GillamB
4,17,INT,Paul,GillamB
5,21,INT,Paul,GillamB
6,25,INT,Paul,GillamB
7,27,INT,Paul,GillamB
8,14,INT,Paul,GillamB
9,21,INT,Paul,GillamB
10,16,INT,Paul,GillamB
11,23,INT,Paul,GillamB
12,31,INT,Paul,GillamB
13,25,INT,Paul,GillamB
14,31,INT,Paul,GillamB
15,39,INT,Paul,GillamB
16,45,INT,Paul,GillamB
17,45,INT,Paul,GillamB
18,23,INT,Paul,GillamB
19,36,INT,Paul,GillamB
1,20,BL,Jenn,GillamB
2,11,BL,Jenn,GillamB
3,12,BL,Jenn,GillamB
4,16,BL,Jenn,GillamB
5,14,BL,Jenn,GillamB
6,18,BL,Jenn,GillamB
7,11,BL,Jenn,GillamB
8,11,BL,Jenn,GillamB
9,20,BL,Jenn,GillamB
10,9,BL,Jenn,GillamB
11,2,BL,Jenn,GillamB
12,13,BL,Jenn,GillamB
13,10,BL,Jenn,GillamB
14,20,BL,Jenn,GillamB
15,11,BL,Jenn,GillamB
16,6,BL,Jenn,GillamB
17,9,BL,Jenn,GillamB
18,5,BL,Jenn,GillamB
19,8,BL,Jenn,GillamB
20,7,INT,Jenn,GillamB
21,17,INT,Jenn,GillamB
22,12,INT,Jenn,GillamB
23,24,INT,Jenn,GillamB
24,39,INT,Jenn,GillamB
25,22,INT,Jenn,GillamB
26,43,INT,Jenn,GillamB
27,55,INT,Jenn,GillamB
28,49,INT,Jenn,GillamB
29,66,INT,Jenn,GillamB
30,52,INT,Jenn,GillamB
1,20,BL,AlanTNW,MillerB
2,26,BL,AlanTNW,MillerB
3,23,BL,AlanTNW,MillerB
4,29,INT,AlanTNW,MillerB
5,19,INT,AlanTNW,MillerB
6,35,INT,AlanTNW,MillerB
7,51,INT,AlanTNW,MillerB
8,79,INT,AlanTNW,MillerB
9,73,INT,AlanTNW,MillerB
10,54,INT,AlanTNW,MillerB
11,90,INT,AlanTNW,MillerB
12,75,INT,AlanTNW,MillerB
13,65,INT,AlanTNW,MillerB
14,111,INT,AlanTNW,MillerB
15,89,INT,AlanTNW,MillerB
16,61,INT,AlanTNW,MillerB
17,89,INT,AlanTNW,MillerB
18,63,INT,AlanTNW,MillerB
19,80,INT,AlanTNW,MillerB
20,92,INT,AlanTNW,MillerB
1,62,BL,CarlosTNW,MillerB
2,44,BL,CarlosTNW,MillerB
3,55,BL,CarlosTNW,MillerB
4,55,BL,CarlosTNW,MillerB
5,50,BL,CarlosTNW,MillerB
6,104,INT,CarlosTNW,MillerB
7,118,INT,CarlosTNW,MillerB
8,112,INT,CarlosTNW,MillerB
9,118,INT,CarlosTNW,MillerB
10,96,INT,CarlosTNW,MillerB
11,123,INT,CarlosTNW,MillerB
12,80,INT,CarlosTNW,MillerB
13,110,INT,CarlosTNW,MillerB
14,118,INT,CarlosTNW,MillerB
15,159,INT,CarlosTNW,MillerB
16,102,INT,CarlosTNW,MillerB
17,161,INT,CarlosTNW,MillerB
1,47,BL,BiancaTNW,MillerB
2,57,BL,BiancaTNW,MillerB
3,66,BL,BiancaTNW,MillerB
4,58,BL,BiancaTNW,MillerB
5,32,BL,BiancaTNW,MillerB
6,50,BL,BiancaTNW,MillerB
7,40,INT,BiancaTNW,MillerB
8,42,INT,BiancaTNW,MillerB
9,51,INT,BiancaTNW,MillerB
10,48,INT,BiancaTNW,MillerB
11,62,INT,BiancaTNW,MillerB
12,62,INT,BiancaTNW,MillerB
13,49,INT,BiancaTNW,MillerB
14,70,INT,BiancaTNW,MillerB
15,49,INT,BiancaTNW,MillerB
16,60,INT,BiancaTNW,MillerB
17,69,INT,BiancaTNW,MillerB
18,49,INT,BiancaTNW,MillerB
19,67,INT,BiancaTNW,MillerB
1,16,BL,AlanNDW,MillerB
2,19,BL,AlanNDW,MillerB
3,18,BL,AlanNDW,MillerB
4,17,INT,AlanNDW,MillerB
5,32,INT,AlanNDW,MillerB
6,37,INT,AlanNDW,MillerB
7,51,INT,AlanNDW,MillerB
8,50,INT,AlanNDW,MillerB
9,40,INT,AlanNDW,MillerB
10,62,INT,AlanNDW,MillerB
11,44,INT,AlanNDW,MillerB
12,53,INT,AlanNDW,MillerB
13,64,INT,AlanNDW,MillerB
14,55,INT,AlanNDW,MillerB
15,43,INT,AlanNDW,MillerB
16,58,INT,AlanNDW,MillerB
17,44,INT,AlanNDW,MillerB
18,56,INT,AlanNDW,MillerB
19,49,INT,AlanNDW,MillerB
1,36,BL,CarlosNDW,MillerB
2,33,BL,CarlosNDW,MillerB
3,37,BL,CarlosNDW,MillerB
4,33,BL,CarlosNDW,MillerB
5,40,BL,CarlosNDW,MillerB
6,60,INT,CarlosNDW,MillerB
7,59,INT,CarlosNDW,MillerB
8,58,INT,CarlosNDW,MillerB
9,53,INT,CarlosNDW,MillerB
10,56,INT,CarlosNDW,MillerB
11,64,INT,CarlosNDW,MillerB
12,40,INT,CarlosNDW,MillerB
13,52,INT,CarlosNDW,MillerB
14,52,INT,CarlosNDW,MillerB
15,66,INT,CarlosNDW,MillerB
16,51,INT,CarlosNDW,MillerB
17,65,INT,CarlosNDW,MillerB
1,29,BL,BiancaNDW,MillerB
2,37,BL,BiancaNDW,MillerB
3,43,BL,BiancaNDW,MillerB
4,36,BL,BiancaNDW,MillerB
5,23,BL,BiancaNDW,MillerB
6,35,BL,BiancaNDW,MillerB
7,27,INT,BiancaNDW,MillerB
8,28,INT,BiancaNDW,MillerB
9,36,INT,BiancaNDW,MillerB
10,33,INT,BiancaNDW,MillerB
11,40,INT,BiancaNDW,MillerB
12,40,INT,BiancaNDW,MillerB
13,32,INT,BiancaNDW,MillerB
14,46,INT,BiancaNDW,MillerB
15,31,INT,BiancaNDW,MillerB
16,39,INT,BiancaNDW,MillerB
17,41,INT,BiancaNDW,MillerB
18,33,INT,BiancaNDW,MillerB
19,38,INT,BiancaNDW,MillerB
1,175,BL,JoseTNW,MillerA
2,212,BL,JoseTNW,MillerA
3,317,BL,JoseTNW,MillerA
4,151,BL,JoseTNW,MillerA
5,122,BL,JoseTNW,MillerA
6,143,BL,JoseTNW,MillerA
7,178,INT,JoseTNW,MillerA
8,122,INT,JoseTNW,MillerA
9,212,INT,JoseTNW,MillerA
10,183,INT,JoseTNW,MillerA
11,178,INT,JoseTNW,MillerA
12,134,INT,JoseTNW,MillerA
13,224,INT,JoseTNW,MillerA
14,140,INT,JoseTNW,MillerA
15,166,INT,JoseTNW,MillerA
16,189,INT,JoseTNW,MillerA
17,122,INT,JoseTNW,MillerA
18,99,INT,JoseTNW,MillerA
19,244,INT,JoseTNW,MillerA
20,262,INT,JoseTNW,MillerA
21,233,INT,JoseTNW,MillerA
22,113,INT,JoseTNW,MillerA
23,218,INT,JoseTNW,MillerA
24,285,INT,JoseTNW,MillerA
25,157,INT,JoseTNW,MillerA
26,233,INT,JoseTNW,MillerA
27,244,INT,JoseTNW,MillerA
28,239,INT,JoseTNW,MillerA
29,247,INT,JoseTNW,MillerA
30,227,INT,JoseTNW,MillerA
31,175,INT,JoseTNW,MillerA
32,242,INT,JoseTNW,MillerA
33,288,INT,JoseTNW,MillerA
34,224,INT,JoseTNW,MillerA
35,192,INT,JoseTNW,MillerA
36,233,INT,JoseTNW,MillerA
37,146,INT,JoseTNW,MillerA
38,148,INT,JoseTNW,MillerA
1,274,BL,ArmandoTNW,MillerA
2,329,BL,ArmandoTNW,MillerA
3,268,BL,ArmandoTNW,MillerA
4,233,BL,ArmandoTNW,MillerA
5,239,BL,ArmandoTNW,MillerA
6,285,BL,ArmandoTNW,MillerA
7,274,BL,ArmandoTNW,MillerA
8,381,INT,ArmandoTNW,MillerA
9,364,INT,ArmandoTNW,MillerA
10,515,INT,ArmandoTNW,MillerA
11,285,INT,ArmandoTNW,MillerA
12,370,INT,ArmandoTNW,MillerA
13,274,INT,ArmandoTNW,MillerA
14,172,INT,ArmandoTNW,MillerA
15,358,INT,ArmandoTNW,MillerA
16,247,INT,ArmandoTNW,MillerA
17,151,INT,ArmandoTNW,MillerA
18,195,INT,ArmandoTNW,MillerA
19,137,INT,ArmandoTNW,MillerA
20,201,INT,ArmandoTNW,MillerA
21,212,INT,ArmandoTNW,MillerA
22,218,INT,ArmandoTNW,MillerA
23,242,INT,ArmandoTNW,MillerA
24,204,INT,ArmandoTNW,MillerA
25,166,INT,ArmandoTNW,MillerA
26,311,INT,ArmandoTNW,MillerA
27,253,INT,ArmandoTNW,MillerA
28,236,INT,ArmandoTNW,MillerA
29,201,INT,ArmandoTNW,MillerA
30,227,INT,ArmandoTNW,MillerA
1,204,BL,ErlinaTNW,MillerA
2,189,BL,ErlinaTNW,MillerA
3,294,BL,ErlinaTNW,MillerA
4,175,BL,ErlinaTNW,MillerA
5,183,BL,ErlinaTNW,MillerA
6,146,BL,ErlinaTNW,MillerA
7,128,BL,ErlinaTNW,MillerA
8,172,BL,ErlinaTNW,MillerA
9,215,INT,ErlinaTNW,MillerA
10,160,INT,ErlinaTNW,MillerA
11,276,INT,ErlinaTNW,MillerA
12,259,INT,ErlinaTNW,MillerA
13,320,INT,ErlinaTNW,MillerA
14,172,INT,ErlinaTNW,MillerA
15,276,INT,ErlinaTNW,MillerA
16,169,INT,ErlinaTNW,MillerA
17,230,INT,ErlinaTNW,MillerA
18,294,INT,ErlinaTNW,MillerA
19,198,INT,ErlinaTNW,MillerA
20,271,INT,ErlinaTNW,MillerA
21,393,INT,ErlinaTNW,MillerA
22,227,INT,ErlinaTNW,MillerA
1,73,BL,EvaTNW,MillerA
2,79,BL,EvaTNW,MillerA
3,169,BL,EvaTNW,MillerA
4,157,BL,EvaTNW,MillerA
5,105,BL,EvaTNW,MillerA
6,154,BL,EvaTNW,MillerA
7,99,BL,EvaTNW,MillerA
8,102,BL,EvaTNW,MillerA
9,113,BL,EvaTNW,MillerA
10,119,INT,EvaTNW,MillerA
11,96,INT,EvaTNW,MillerA
12,221,INT,EvaTNW,MillerA
13,131,INT,EvaTNW,MillerA
14,122,INT,EvaTNW,MillerA
15,178,INT,EvaTNW,MillerA
16,111,INT,EvaTNW,MillerA
17,99,INT,EvaTNW,MillerA
1,66,BL,JoseNDW,MillerA
2,88,BL,JoseNDW,MillerA
3,102,BL,JoseNDW,MillerA
4,65,BL,JoseNDW,MillerA
5,49,BL,JoseNDW,MillerA
6,66,BL,JoseNDW,MillerA
7,70,INT,JoseNDW,MillerA
8,53,INT,JoseNDW,MillerA
9,84,INT,JoseNDW,MillerA
10,69,INT,JoseNDW,MillerA
11,71,INT,JoseNDW,MillerA
12,53,INT,JoseNDW,MillerA
13,93,INT,JoseNDW,MillerA
14,68,INT,JoseNDW,MillerA
15,66,INT,JoseNDW,MillerA
16,65,INT,JoseNDW,MillerA
17,55,INT,JoseNDW,MillerA
18,45,INT,JoseNDW,MillerA
19,76,INT,JoseNDW,MillerA
20,87,INT,JoseNDW,MillerA
21,60,INT,JoseNDW,MillerA
22,53,INT,JoseNDW,MillerA
23,86,INT,JoseNDW,MillerA
24,82,INT,JoseNDW,MillerA
25,60,INT,JoseNDW,MillerA
26,90,INT,JoseNDW,MillerA
27,68,INT,JoseNDW,MillerA
28,62,INT,JoseNDW,MillerA
29,86,INT,JoseNDW,MillerA
30,74,INT,JoseNDW,MillerA
31,60,INT,JoseNDW,MillerA
32,85,INT,JoseNDW,MillerA
33,103,INT,JoseNDW,MillerA
34,85,INT,JoseNDW,MillerA
35,74,INT,JoseNDW,MillerA
36,79,INT,JoseNDW,MillerA
37,61,INT,JoseNDW,MillerA
38,54,INT,JoseNDW,MillerA
1,88,BL,ArmandoNDW,MillerA
2,112,BL,ArmandoNDW,MillerA
3,101,BL,ArmandoNDW,MillerA
4,91,BL,ArmandoNDW,MillerA
5,84,BL,ArmandoNDW,MillerA
6,101,BL,ArmandoNDW,MillerA
7,117,BL,ArmandoNDW,MillerA
8,131,INT,ArmandoNDW,MillerA
9,126,INT,ArmandoNDW,MillerA
10,153,INT,ArmandoNDW,MillerA
11,102,INT,ArmandoNDW,MillerA
12,114,INT,ArmandoNDW,MillerA
13,107,INT,ArmandoNDW,MillerA
14,75,INT,ArmandoNDW,MillerA
15,124,INT,ArmandoNDW,MillerA
16,105,INT,ArmandoNDW,MillerA
17,65,INT,ArmandoNDW,MillerA
18,82,INT,ArmandoNDW,MillerA
19,53,INT,ArmandoNDW,MillerA
20,87,INT,ArmandoNDW,MillerA
21,75,INT,ArmandoNDW,MillerA
22,82,INT,ArmandoNDW,MillerA
23,94,INT,ArmandoNDW,MillerA
24,84,INT,ArmandoNDW,MillerA
25,75,INT,ArmandoNDW,MillerA
26,113,INT,ArmandoNDW,MillerA
27,92,INT,ArmandoNDW,MillerA
28,104,INT,ArmandoNDW,MillerA
29,84,INT,ArmandoNDW,MillerA
30,84,INT,ArmandoNDW,MillerA
1,85,BL,ErlinaNDW,MillerA
2,73,BL,ErlinaNDW,MillerA
3,111,BL,ErlinaNDW,MillerA
4,75,BL,ErlinaNDW,MillerA
5,71,BL,ErlinaNDW,MillerA
6,53,BL,ErlinaNDW,MillerA
7,57,BL,ErlinaNDW,MillerA
8,71,BL,ErlinaNDW,MillerA
9,59,INT,ErlinaNDW,MillerA
10,68,INT,ErlinaNDW,MillerA
11,106,INT,ErlinaNDW,MillerA
12,101,INT,ErlinaNDW,MillerA
13,112,INT,ErlinaNDW,MillerA
14,76,INT,ErlinaNDW,MillerA
15,120,INT,ErlinaNDW,MillerA
16,75,INT,ErlinaNDW,MillerA
17,89,INT,ErlinaNDW,MillerA
18,101,INT,ErlinaNDW,MillerA
19,77,INT,ErlinaNDW,MillerA
20,86,INT,ErlinaNDW,MillerA
21,126,INT,ErlinaNDW,MillerA
22,85,INT,ErlinaNDW,MillerA
1,40,BL,EvaNDW,MillerA
2,40,BL,EvaNDW,MillerA
3,55,BL,EvaNDW,MillerA
4,63,BL,EvaNDW,MillerA
5,50,BL,EvaNDW,MillerA
6,67,BL,EvaNDW,MillerA
7,51,BL,EvaNDW,MillerA
8,41,BL,EvaNDW,MillerA
9,55,BL,EvaNDW,MillerA
10,66,INT,EvaNDW,MillerA
11,51,INT,EvaNDW,MillerA
12,76,INT,EvaNDW,MillerA
13,47,INT,EvaNDW,MillerA
14,56,INT,EvaNDW,MillerA
15,74,INT,EvaNDW,MillerA
16,55,INT,EvaNDW,MillerA
17,53,INT,EvaNDW,MillerA
1,7,BL,JoseMLU,MillerA
2,8,BL,JoseMLU,MillerA
3,6,BL,JoseMLU,MillerA
4,7,BL,JoseMLU,MillerA
5,6,BL,JoseMLU,MillerA
6,6,BL,JoseMLU,MillerA
7,6,INT,JoseMLU,MillerA
8,6,INT,JoseMLU,MillerA
9,7,INT,JoseMLU,MillerA
10,10,INT,JoseMLU,MillerA
11,7,INT,JoseMLU,MillerA
12,7,INT,JoseMLU,MillerA
13,6,INT,JoseMLU,MillerA
14,6,INT,JoseMLU,MillerA
15,8,INT,JoseMLU,MillerA
16,7,INT,JoseMLU,MillerA
17,5,INT,JoseMLU,MillerA
18,7,INT,JoseMLU,MillerA
19,9,INT,JoseMLU,MillerA
20,7,INT,JoseMLU,MillerA
21,7,INT,JoseMLU,MillerA
22,5,INT,JoseMLU,MillerA
23,7,INT,JoseMLU,MillerA
24,8,INT,JoseMLU,MillerA
25,8,INT,JoseMLU,MillerA
26,7,INT,JoseMLU,MillerA
27,7,INT,JoseMLU,MillerA
28,10,INT,JoseMLU,MillerA
29,9,INT,JoseMLU,MillerA
30,7,INT,JoseMLU,MillerA
31,8,INT,JoseMLU,MillerA
32,7,INT,JoseMLU,MillerA
33,8,INT,JoseMLU,MillerA
34,7,INT,JoseMLU,MillerA
35,9,INT,JoseMLU,MillerA
36,7,INT,JoseMLU,MillerA
37,6,INT,JoseMLU,MillerA
38,8,INT,JoseMLU,MillerA
1,8,BL,ArmandoMLU,MillerA
2,8,BL,ArmandoMLU,MillerA
3,7,BL,ArmandoMLU,MillerA
4,7,BL,ArmandoMLU,MillerA
5,7,BL,ArmandoMLU,MillerA
6,6,BL,ArmandoMLU,MillerA
7,7,BL,ArmandoMLU,MillerA
