Session,Outcome,Type,Case,Study
54,9,INT,JamesAA,Valentino
55,10,INT,JamesAA,Valentino
56,10,INT,JamesAA,Valentino
1,0,BL,JamesPP,Valentino
2,0,BL,JamesPP,Valentino
3,0,BL,JamesPP,Valentino
4,0,BL,JamesPP,Valentino
5,0,BL,JamesPP,Valentino
6,0,BL,JamesPP,Valentino
7,0,BL,JamesPP,Valentino
8,0,BL,JamesPP,Valentino
9,0,BL,JamesPP,Valentino
10,0,BL,JamesPP,Valentino
11,0,BL,JamesPP,Valentino
12,0,BL,JamesPP,Valentino
13,0,BL,JamesPP,Valentino
14,0,BL,JamesPP,Valentino
15,0,BL,JamesPP,Valentino
16,0,BL,JamesPP,Valentino
17,0,BL,JamesPP,Valentino
18,1,BL,JamesPP,Valentino
19,0,BL,JamesPP,Valentino
20,1,BL,JamesPP,Valentino
21,0,BL,JamesPP,Valentino
22,3,BL,JamesPP,Valentino
23,2,BL,JamesPP,Valentino
24,1,BL,JamesPP,Valentino
25,1,BL,JamesPP,Valentino
26,1,BL,JamesPP,Valentino
27,1,BL,JamesPP,Valentino
28,2,BL,JamesPP,Valentino
29,2,BL,JamesPP,Valentino
30,1,BL,JamesPP,Valentino
31,1,BL,JamesPP,Valentino
32,3,BL,JamesPP,Valentino
33,2,BL,JamesPP,Valentino
34,1,BL,JamesPP,Valentino
35,4,INT,JamesPP,Valentino
36,4,INT,JamesPP,Valentino
37,4,INT,JamesPP,Valentino
38,6,INT,JamesPP,Valentino
39,6,INT,JamesPP,Valentino
40,9,INT,JamesPP,Valentino
41,6,INT,JamesPP,Valentino
42,7,INT,JamesPP,Valentino
43,8,INT,JamesPP,Valentino
44,9,INT,JamesPP,Valentino
45,9,INT,JamesPP,Valentino
46,9,INT,JamesPP,Valentino
47,9,INT,JamesPP,Valentino
48,9,INT,JamesPP,Valentino
49,10,INT,JamesPP,Valentino
50,10,INT,JamesPP,Valentino
1,0,BL,JustinBB,Valentino
2,0,BL,JustinBB,Valentino
3,0,BL,JustinBB,Valentino
4,0,BL,JustinBB,Valentino
5,0,BL,JustinBB,Valentino
6,0,BL,JustinBB,Valentino
7,0,INT,JustinBB,Valentino
8,0,INT,JustinBB,Valentino
9,0,INT,JustinBB,Valentino
10,1,INT,JustinBB,Valentino
11,1,INT,JustinBB,Valentino
12,1,INT,JustinBB,Valentino
13,1,INT,JustinBB,Valentino
14,2,INT,JustinBB,Valentino
15,1,INT,JustinBB,Valentino
16,2,INT,JustinBB,Valentino
17,5,INT,JustinBB,Valentino
18,1,INT,JustinBB,Valentino
19,5,INT,JustinBB,Valentino
20,5,INT,JustinBB,Valentino
21,1,INT,JustinBB,Valentino
22,1,INT,JustinBB,Valentino
23,5,INT,JustinBB,Valentino
24,5,INT,JustinBB,Valentino
25,5,INT,JustinBB,Valentino
26,5,INT,JustinBB,Valentino
27,5,INT,JustinBB,Valentino
1,0,BL,JustinLL,Valentino
2,0,BL,JustinLL,Valentino
3,0,BL,JustinLL,Valentino
4,0,BL,JustinLL,Valentino
5,0,BL,JustinLL,Valentino
6,0,BL,JustinLL,Valentino
7,0,BL,JustinLL,Valentino
8,0,BL,JustinLL,Valentino
9,0,BL,JustinLL,Valentino
10,1,BL,JustinLL,Valentino
11,1,BL,JustinLL,Valentino
12,1,BL,JustinLL,Valentino
13,1,INT,JustinLL,Valentino
14,1,INT,JustinLL,Valentino
15,1,INT,JustinLL,Valentino
16,1,INT,JustinLL,Valentino
17,1,INT,JustinLL,Valentino
18,1,INT,JustinLL,Valentino
19,1,INT,JustinLL,Valentino
20,1,INT,JustinLL,Valentino
21,1,INT,JustinLL,Valentino
22,1,INT,JustinLL,Valentino
23,5,INT,JustinLL,Valentino
24,5,INT,JustinLL,Valentino
1,0,BL,JustinSS,Valentino
2,0,BL,JustinSS,Valentino
3,0,BL,JustinSS,Valentino
4,0,BL,JustinSS,Valentino
5,0,BL,JustinSS,Valentino
6,0,BL,JustinSS,Valentino
7,0,BL,JustinSS,Valentino
8,0,BL,JustinSS,Valentino
9,0,BL,JustinSS,Valentino
10,1,BL,JustinSS,Valentino
11,2,BL,JustinSS,Valentino
12,1,BL,JustinSS,Valentino
13,1,BL,JustinSS,Valentino
14,1,BL,JustinSS,Valentino
15,1,BL,JustinSS,Valentino
16,1,BL,JustinSS,Valentino
17,1,BL,JustinSS,Valentino
18,1,BL,JustinSS,Valentino
19,1,BL,JustinSS,Valentino
20,1,BL,JustinSS,Valentino
21,4,INT,JustinSS,Valentino
22,5,INT,JustinSS,Valentino
23,5,INT,JustinSS,Valentino
1,0,BL,RogerAA,Valentino
2,0,BL,RogerAA,Valentino
3,0,BL,RogerAA,Valentino
4,0,BL,RogerAA,Valentino
5,0,BL,RogerAA,Valentino
6,0,BL,RogerAA,Valentino
7,0,BL,RogerAA,Valentino
8,0,BL,RogerAA,Valentino
9,0,BL,RogerAA,Valentino
10,0,BL,RogerAA,Valentino
11,0,BL,RogerAA,Valentino
12,0,INT,RogerAA,Valentino
13,0,INT,RogerAA,Valentino
14,0,INT,RogerAA,Valentino
15,0,INT,RogerAA,Valentino
16,0,INT,RogerAA,Valentino
17,0,INT,RogerAA,Valentino
18,0,INT,RogerAA,Valentino
19,1,INT,RogerAA,Valentino
20,3,INT,RogerAA,Valentino
21,1,INT,RogerAA,Valentino
22,7,INT,RogerAA,Valentino
23,2,INT,RogerAA,Valentino
24,2,INT,RogerAA,Valentino
25,4,INT,RogerAA,Valentino
26,1,INT,RogerAA,Valentino
27,8,INT,RogerAA,Valentino
28,6,INT,RogerAA,Valentino
29,5,INT,RogerAA,Valentino
30,7,INT,RogerAA,Valentino
31,4,INT,RogerAA,Valentino
32,7,INT,RogerAA,Valentino
33,8,INT,RogerAA,Valentino
34,8,INT,RogerAA,Valentino
35,8,INT,RogerAA,Valentino
36,8,INT,RogerAA,Valentino
37,8,INT,RogerAA,Valentino
38,8,INT,RogerAA,Valentino
39,8,INT,RogerAA,Valentino
40,8,INT,RogerAA,Valentino
41,8,INT,RogerAA,Valentino
42,1,INT,RogerAA,Valentino
43,8,INT,RogerAA,Valentino
44,8,INT,RogerAA,Valentino
45,8,INT,RogerAA,Valentino
46,8,INT,RogerAA,Valentino
47,1,INT,RogerAA,Valentino
48,8,INT,RogerAA,Valentino
49,8,INT,RogerAA,Valentino
50,8,INT,RogerAA,Valentino
51,8,INT,RogerAA,Valentino
52,8,INT,RogerAA,Valentino
1,0,BL,RogerBB,Valentino
2,0,BL,RogerBB,Valentino
3,0,BL,RogerBB,Valentino
4,0,BL,RogerBB,Valentino
5,0,BL,RogerBB,Valentino
6,0,BL,RogerBB,Valentino
7,0,BL,RogerBB,Valentino
8,0,BL,RogerBB,Valentino
9,0,BL,RogerBB,Valentino
10,0,BL,RogerBB,Valentino
11,0,BL,RogerBB,Valentino
12,0,BL,RogerBB,Valentino
13,0,BL,RogerBB,Valentino
14,0,BL,RogerBB,Valentino
15,0,BL,RogerBB,Valentino
16,1,BL,RogerBB,Valentino
17,0,BL,RogerBB,Valentino
18,1,BL,RogerBB,Valentino
19,2,BL,RogerBB,Valentino
20,2,BL,RogerBB,Valentino
21,1,BL,RogerBB,Valentino
22,5,BL,RogerBB,Valentino
23,4,BL,RogerBB,Valentino
24,1,BL,RogerBB,Valentino
25,1,BL,RogerBB,Valentino
26,0,BL,RogerBB,Valentino
27,4,BL,RogerBB,Valentino
28,1,BL,RogerBB,Valentino
29,7,BL,RogerBB,Valentino
30,0,BL,RogerBB,Valentino
31,0,BL,RogerBB,Valentino
32,4,BL,RogerBB,Valentino
33,0,BL,RogerBB,Valentino
34,2,BL,RogerBB,Valentino
35,2,BL,RogerBB,Valentino
36,6,BL,RogerBB,Valentino
37,1,BL,RogerBB,Valentino
38,5,BL,RogerBB,Valentino
39,6,BL,RogerBB,Valentino
40,2,BL,RogerBB,Valentino
41,6,INT,RogerBB,Valentino
42,2,INT,RogerBB,Valentino
43,3,INT,RogerBB,Valentino
44,1,INT,RogerBB,Valentino
45,8,INT,RogerBB,Valentino
46,4,INT,RogerBB,Valentino
47,1,INT,RogerBB,Valentino
48,6,INT,RogerBB,Valentino
49,1,INT,RogerBB,Valentino
50,2,INT,RogerBB,Valentino
51,2,INT,RogerBB,Valentino
52,7,INT,RogerBB,Valentino
53,5,INT,RogerBB,Valentino
54,6,INT,RogerBB,Valentino
55,2,INT,RogerBB,Valentino
56,8,INT,RogerBB,Valentino
57,3,INT,RogerBB,Valentino
58,4,INT,RogerBB,Valentino
59,6,INT,RogerBB,Valentino
60,1,INT,RogerBB,Valentino
61,7,INT,RogerBB,Valentino
62,2,INT,RogerBB,Valentino
63,7,INT,RogerBB,Valentino
64,3,INT,RogerBB,Valentino
65,5,INT,RogerBB,Valentino
66,7,INT,RogerBB,Valentino
67,8,INT,RogerBB,Valentino
68,5,INT,RogerBB,Valentino
69,8,INT,RogerBB,Valentino
70,8,INT,RogerBB,Valentino
71,7,INT,RogerBB,Valentino
1,0,BL,RogerMM,Valentino
2,0,BL,RogerMM,Valentino
3,0,BL,RogerMM,Valentino
4,0,BL,RogerMM,Valentino
5,0,BL,RogerMM,Valentino
6,0,BL,RogerMM,Valentino
7,0,BL,RogerMM,Valentino
8,0,BL,RogerMM,Valentino
9,0,BL,RogerMM,Valentino
10,0,BL,RogerMM,Valentino
11,0,BL,RogerMM,Valentino
12,0,BL,RogerMM,Valentino
13,4,INT,RogerMM,Valentino
14,6,INT,RogerMM,Valentino
15,6,INT,RogerMM,Valentino
16,6,INT,RogerMM,Valentino
17,7,INT,RogerMM,Valentino
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,